,importance
pm25_roll24,0.6210848352640413
pm25_roll6,0.17362991728575042
hour_cos,0.12981078297315035
hour_sin,0.01799442365174255
pm25_lag24,0.0123900657750365
hour,0.010737288912951393
pm25_lag3,0.003947616294744947
pm25_lag1,0.0039458938902128034
temp_x_humidity,0.003425595197294448
dayofweek,0.003305156493969265
humidity_pct,0.0032764071082256228
pm25_roll6_std,0.0029579104813266437
pm_proxy_weather,0.0027075781038619117
temperature_c,0.002660088933730466
day,0.0023552404203392822
wind_speed_mps,0.002160469690599829
is_weekend,0.0012321004707792518
month,0.0005067929818351044
month_sin,0.0004909257828525301
month_cos,0.00034582373811404546
